longitude,latitude,YR,MO,X,Y,TOT,CR,
-73.93515032,40.69099168,2014,2,1002234,191030,1,BURGLARY,
-73.89485319,40.67756193,2014,2,1013415,186148,1,GRAND LARCENY,
-73.95971798,40.6488596,2014,2,995428,175676,1,GRAND LARCENY,
-73.94530761,40.68307555,2014,2,999419,188144,1,FELONY ASSAULT,
-73.9504191,40.63613938,2014,2,998011,171043,1,GRAND LARCENY,
-73.77248727,40.66919186,2014,1,1047364,183163,1,ROBBERY,
-73.95890197,40.58121388,2014,2,995666,151031,1,ROBBERY,
-73.91640568,40.67727494,2014,2,1007437,186037,1,GRAND LARCENY,
-73.95161951,40.60050974,2014,2,997685,158062,2,GRAND LARCENY,
-73.98596246,40.67155689,2014,2,988144,183943,1,BURGLARY,
-73.9371522,40.70569102,2014,2,1001675,196385,1,GRAND LARCENY,
-73.87189999,40.67872167,2014,2,1019781,186579,1,ROBBERY,
-73.94985061,40.63989949,2014,2,998168,172413,3,BURGLARY,
-73.95444228,40.64870393,2014,2,996892,175620,1,ROBBERY,
-73.98897677,40.6679451,2014,2,987308,182627,1,GRAND LARCENY,
-73.97689116,40.61299269,2014,2,990666,162607,1,BURGLARY,
